id,Model,Display name,Hugging Face developer id,Version release date,Notes,Link,Aider’s polyglot benchmark,OS World (Screenshot),LiveBench,Balrog,The Agent Company,AidanBench,WeirdML V1,WebDevArena,SimpleBench,Factorio Learning Environment,HCAST,RE-Bench,MCBench,VendingBench,METR horizon lengths,Cybench,Lech Mazur Writing,TEMPLATE,GeoBench,Fiction.LiveBench,CadEval,VPCT,HellaSwag,OpenBookQA,WinoGrande,MMLU,BBH,TriviaQA,autoadvexbench,Terminal Bench,BrowseComp,OSUniverse,VideoMME,GSO-Bench,GSM8K,CommonSenseQA 2,SuperGlue,LAMBADA,BoolQ,PIQA,ARC AGI,Adversarial NLI,ScienceQA,DeepResearch Bench,WeirdML V2,ARC AI2,EnigmaEval,VISTA,ToolComp,Has external benchmark result on hub (WIP),TEMPLATE copy
gpt-4-1106-preview,GPT-4 Turbo,GPT-4 Turbo Preview (Nov 2023),,2023-11-06,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023.
This model appears to have had a knowledge cutoff date of April 1, 2023, according to https://www.datacamp.com/blog/gpt4-turbo.",https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,,,,,,openai/gpt-4-1106-preview,,,,,,,,,rechSoSit7zTyOpq0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recdHc8CnUnnjh1AY,1,
gpt-4-1106-vision-preview,GPT-4V,,,2023-11-06,"Knowledge cutoff is April 1, 2023, according to https://www.datacamp.com/blog/gpt4-turbo",,,GPT-4 Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rec0rSn6Z7fJHJWM6,,,,,,,,,,,,,,,,,0,
gpt-4-turbo,GPT-4 Turbo,,,2023-11-06,"First version of GPT-4 Turbo

I didn't find reference to it in release / deprecation notes. 

This model seems to have had a knowledge cutoff date of April 1, 2023, according to https://www.proxet.com/blog/openai-release-notes-november-2023.",https://openai.com/index/new-models-and-developer-products-announced-at-devday/,,,,,,,,,,,,,,,,,,,,,,,,,,rec6xx0AwDEsiaUS8,,,,,,,,,,,,,,,,,,,,,,,,0,
gpt-4-turbo-2024-04-09,GPT-4 Turbo,,,2024-04-09,"GPT-4 is an older version of a high-intelligence GPT model, usable in Chat Completions. Learn more in the text generation guide. The knowledge cutoff for the latest GPT-4 Turbo version is December, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",https://platform.openai.com/docs/models#gpt-4-turbo-and-gpt-4,,GPT-4 Vision (0409),,,,openai/gpt-4-turbo,recJEu94RinobfJw8,,reczQMtVDyVdqr3Fw,,,,,,recen58457Be84Pud,,,,,,,,,,,recTZoT00f1052qmh,,,,,,,,,,,,,,,,,,,recteY2LQE2gKMz1y,,,,,1,
gpt-4o-2024-05-13,GPT-4o,GPT-4o (May 2024),,2024-05-13,"GPT-4o (“o” for “omni”) is our versatile, high-intelligence flagship model. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). 
The knowledge cutoff for GPT-4o models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",https://platform.openai.com/docs/models#gpt-4o,,GPT-4o,,recGsilOFpcHF89qF,,openai/gpt-4o-2024-05-13,,,,,,,,,,,,,,,,,,,,rec7uXJcDwu5vAB0v,,,,,,,,,,,,,,,,,rec0F1EWXSFmyhqsG,,,,,,recCpo3znBAwLDGfl,1,
gpt-4o-2024-08-06,GPT-4o,GPT-4o (Aug 2024),,2024-08-06,"GPT-4o (“o” for “omni”) is our versatile, high-intelligence flagship model. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). 
The knowledge cutoff for GPT-4o models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",https://platform.openai.com/docs/models#gpt-4o,recx22qdB0rDBivbC,,gpt-4o-2024-08-06,,,openai/gpt-4o-2024-08-06,,,receDGtlCRZB7DW1z,,,,GPT 4o (2024-08-06),,,,,,,,recMLAVAe2s9Zys4V,,,,,recngZX6kgPdpEuvJ,,,recXk5sy4PwcoRgKW,,,,reciIWRDoigviHQq5,,,,,,,,,,,,,,,rec7lgjmTONXesdQU,recDfrDBDWxHKinPR,1,
gpt-4o-2024-11-20,GPT-4o,GPT-4o (Nov 2024),,2024-11-20,"GPT-4o (“o” for “omni”) is our versatile, high-intelligence flagship model. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). 
The knowledge cutoff for GPT-4o models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",https://platform.openai.com/docs/models#gpt-4o,rec2Ms47snUu0pQTd,,gpt-4o-2024-11-20,,OpenHands + GPT 4o,openai/gpt-4o-2024-11-20,recrwEDMz2MdPhAwd,recOXmBp4Cwo69XIV,,recOHRTbZ4qzHivab,,,GPT 4o (2024-11-20),GPT-4o,recdwVn3QiDENdt6P,reca4ghOZAGJnaIQP,recoz4ungN3PTpQl9,,rec2Ind0RGchMKj3j,,,recM0nqnoo0kn90F5,,,,recTErMEF70Oq8pZU,,,,,,recnnx44lqU1ivOYw,,recSbAXRQhrp0eicx,,,,,,,recEtb28sN0f3OFf5,,,,recnyEQFFHcxoiWZd,,recou1Ho3tLHFVyFe,rechHYwt6oXitv7oI,,1,
gpt-4o-mini-2024-07-18,GPT-4o mini,,,2024-07-18,"GPT-4o mini (“o” for “omni”) is a fast, affordable small model for focused tasks. It accepts both text and image inputs, and produces text outputs (including Structured Outputs). It is ideal for fine-tuning, and model outputs from a larger model like GPT-4o can be distilled to GPT-4o-mini to produce similar results at lower cost and latency.

The knowledge cutoff for GPT-4o-mini models is October, 2023 (https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-4o-and-gpt-4-turbo).",https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,recS9uke58jAhuAU5,GPT-4o-mini,gpt-4o-mini-2024-07-18,reccmCPuiookWJZbw,,openai/gpt-4o-mini-2024-07-18,recle6WgnKYs68kC4,,recRSFVLtD45NI9Tm,rec6lE8Gz606RB8oP,,,GPT 4o Mini (2024-07-18),GPT-4o mini,,,rec59iWuwAkDxmebi,,recpyh8ly8Rnrqvgj,,,rec9Z8ze3bQlJ2HJ8,,,,"rec66ukiUXgRuE5uX,rec9BQTN7H8M50fyc",,,,,,,recXpV4vq3BApmF47,,recf8nbb0TVMGvbfa,,,,recizVJrP3lam4Dj6,recGz1DuA5ylHICeB,,,,,recUY5OtXWCsKXibx,,,,recxhEooXjBC0KgWf,1,
grok-2-0813,Grok-2,,,2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
grok-2-1212,Grok-2,,,2024-12-12,"""Our latest text model supporting structured outputs, with improved efficiency, speed and capabilities.""",https://x.ai/blog/grok-1212,,,grok-2-1212,,,,recGSuSjLD52CcCs5,,recU76IB1e4qQPMy0,,,,grok 2 (1212),,,,recxwnBs6mL87lq8r,,,,,,,,,,,,,,,,,,,,,,,,,,,,recDbZKRnS6z5OZTF,,,,,1,
grok-2-mini-0813,Grok-2 mini,,,2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
grok-2-vision-1212,Grok-2,,,2024-12-12,"""Our latest image understanding model with increased context window that can process a wide variety of visual information, including documents, diagrams, charts, screenshots, and photographs.""",https://x.ai/blog/grok-1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Hermes-2-Theta-Llama-3-70B,Hermes 2 Theta Llama-3 70B,,NousResearch,2024-06-20,"This appears to be fine-tuned from Llama 3-70B, which has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Meta-Llama-3-70B.",https://huggingface.co/NousResearch/Hermes-2-Theta-Llama-3-70B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Llama-2-70b-chat-hf,Llama 2-70B,,meta-llama,2023-07-18,"The chat 70B model in HF transformers format
""The pretraining data has a cutoff of September 2022, but some tuning data is more recent, up to July 2023,"" according to https://huggingface.co/meta-llama/Llama-2-70b-chat-hf.",https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Llama-3.1-8B-Instruct,Llama 3.1-8B,,meta-llama,2024-07-23,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct.",https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,,,,recnsJM2l3foJ2IOJ,,meta-llama/llama-3.1-8b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recOcYLjPO17LCZQP,,,,recauId7IvSgbcDLC,recMRkMxBSeChUEeH,,,,,rec05mu7SRgTx8mA4,,,,reco5EclxSVDsvZpT,1,
Llama-3.1-70B-Instruct,Llama 3.1-70B,,meta-llama,2024-07-23,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct.",https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,,,,recteB2cIvITYSNNg,"OpenHands + LLama-3.3-70b,OpenHands + Llama-3.1-70b",meta-llama/llama-3.1-70b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recFJHpXHYhXFptDA,,,,recrJW5CmH4ib2bOR,1,
Llama-3.1-405B-Instruct,Llama 3.1-405B,,meta-llama,2024-07-23,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct.",https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,,,,,OpenHands + Llama-3.1-405b,meta-llama/llama-3.1-405b-instruct,,recyv7krOldyrXF6M,recHm5YlK5f56Qa1p,,,,Meta Llama 3.1 - 405b - Instruct,,,recHTQDbjXmORU18G,,,,,,,,recRs51YLI4tT8MOL,rectAF9Y0lcDhgjKK,,,,,,,,,,,,,,,,,,,,recnDucX915Gq1w1w,,,,recRxhO43daUCv9kK,1,
Meta-Llama-3-8B-Instruct,Llama 3-8B,,meta-llama,2024-04-18,"Knowledge cutoff date is March 1, 2023, according to https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct.",https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,"rec3L2OKijkkbrBp1,recE5eGspU6lhyKQV",rec71xWl1TzaoATvj,"recShUHfQj3yvMmET,recKeTJ0WxkfqaXc6",,recdU5vKsuTRE1e60,,,,,,,,,,,,,,rec5SHmv8BEboIgY3,,,,recyK5toDoO0k8HO4,,,,0,
Meta-Llama-3-70B-Instruct,Llama 3-70B,,meta-llama,2024-04-18,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct.",https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct,,,,,,,,,,,,,,,,recqUzjd97hyzZN2f,,,,,,,,recQmSGZukK5lqht3,,recWvSXL72D2hpbVl,,,,,,,,,,,,,,,,,,,,,,,,0,
Ministral-3B,Ministral 3B,,,,,https://ai.azure.com/explore/models/Ministral-3B/version/1/registry/azureml-mistral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Ministral-8B-Instruct-2410,Ministral 8B,,mistralai,2024-10-16,,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Mistral-7B-Instruct-v0.1,Mistral 7B,,mistralai,2023-09-27,,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recUMmAunynmFGxLQ,,,,,,,,,,0,
Mistral-7B-Instruct-v0.2,Mistral 7B,,mistralai,,,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,,,,,,,,,,,,,,,,,,rec5aVLAAe2uwnAJ3,,,,,,,,,rec0smApu8Mq2BOsY,,,,rechrxxd2cyc5qvCK,recwGYCRlmPQfK60l,,,,,,,,,,0,
Mistral-7B-Instruct-v0.3,Mistral 7B,,mistralai,2024-05-27,,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,,,,,,mistralai/mistral-7b-instruct-v0.3,,,,,,,,,,,,,,,,,,,,recxGM6lCcs0CnKWO,,,,,,,,,,,,,,,,,,,,,,,,0,
Mistral-7B-v0.1,Mistral 7B,,mistralai,2023-09-27,,https://huggingface.co/mistralai/Mistral-7B-v0.1,,,,,,,,,,,,,,,,,,,,,,,recvCEZxPk8kXUffy,recpUSIUFvbjMUSDA,"recfxiFrvSCnxbjsX,rec5MLRl0r4y0sPhr,recxXMjf8MjkinJeQ,recIbFwTUgH5IpHS5,recdZaaWYWrX1u3Si","recdbbEpQDnuQx1SM,reclqttZHU3FrMenP,recrKIaLtBWuoRKy0,recobovxkli2yXD7Q","rec8po7QMvux1PqYW,recAbnFHkWY8M8u4C","reccS3oFHW9PBkukw,recWGZr0UHYNvgMbt",,,,,,,"recHcwXx5qAtSwauC,reclGrtotrnt1MfuQ,recVlEJvA1rFQeLL3,recxjNidfoLOuJkgZ,rec4iro1y3Mse53sB",,,,"recfRB8rclD0fcc5y,rece8qjazdWTKnvG1","reclUJMIrRD6JaeFJ,recuKX9gOnTp5HRYM",,recs6xkdcp6JUtf0U,,,,"recc1svpFIcg7vAL9,recm8JgtAr9cYvI3c,recyVBqHxwXmkfQPN,recywSGJNH0NxjYpT",,,,0,
Mistral-7B-v0.3,Mistral 7B,,mistralai,,,https://huggingface.co/mistralai/Mistral-7B-v0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Mistral-Large-Instruct-2407,Mistral Large 2,,mistralai,2024-07-24,,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rec4gvV39jKvClFy5,0,
Mistral-Large-Instruct-2411,Mistral Large 2,,mistralai,2024-11-15,,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,,,,,,,,,,,,,Mistral Large (24.11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Mistral-Nemo-Base-2407,Mistral NeMo,,mistralai,2024-07-18,,https://huggingface.co/mistralai/Mistral-Nemo-Base-2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recdbE6j0lBrX5byj,,,,recJXBsbsGjM6r8IP,recg6Csx6Pm68gfKA,,,,,,,,,,0,
Mistral-Nemo-Instruct-2407,Mistral NeMo,,mistralai,2024-07-18,,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,,,,rec49SaiDl0h4hTar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Mixtral-8x7B-Instruct-v0.1,Mixtral 8x7B,,mistralai,2023-12-11,,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Mixtral-8x7B-v0.1,Mixtral 8x7B,,mistralai,2023-12-11,,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1,,,,,,,,,,,,,,,,,,,,,,,"rec5L8vbrflxgqG9Y,receQE7wX2SUXU5kj",recSGILLdlIug5JEV,"recOiKNC7k9QoMUyx,rectsfybsCEwcCVin","rec2QbPaiM3fs3ojk,recVbhuiQ3mCmSZWs",,recX29PfnrbG9x67s,,,,,,,reczD1NT6XqiSTtzQ,,,,,rec2IWUndAuaG0h2n,,recsPgQH1jqzEBUh0,,,,"recwv4JdA8LfWCnVJ,recMzqmrpgMj3B6cS",,,,0,
Mixtral-8x22B-Instruct-v0.1,Mixtral 8x22B,,mistralai,2024-04-17,,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,,,,,,mistralai/mixtral-8x22b-instruct,,,,,,,,,,recFsRheuwg1wunwf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recZSSo7RkyUGkJFX,,,,,1,
Mixtral-8x22B-v0.1,Mixtral 8x22B,,mistralai,2024-04-17,,https://huggingface.co/mistralai/Mixtral-8x22B-v0.1,,,,,,,,,,,,,,,,,,,,,,,,,,reczWpbUvk8LZHdwj,,,,,,,,,,,,,,,,,,,,,,,,0,
mpt-7b-instruct,MPT-7B,,mosaicml,2023-05-05,,https://huggingface.co/mosaicml/mpt-7b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
mpt-30b-instruct,MPT-30B,,mosaicml,2023-06-22,,https://huggingface.co/mosaicml/mpt-30b-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reciGMGxgYhthpF6j,,,,recn1pl2GKarqRqur,,,,,,,,,,,0,
nemotron-4-340b-Instruct,Nemotron-4 340B,,nvidia,2024-06-14,,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
o1-2024-12-17_medium,o1,o1 (medium),,2024-12-17,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-2024-12-17 is September 30, 2023, according to https://platform.openai.com/docs/models/o1.",https://platform.openai.com/docs/models#o1,,,,,,openai/o1,,recWy0omQqA7DyLpV,recCGePx18ITu5c6O,,,,o1 (2024-12-17),,recrH7UpKH2XmiFW8,,recjgF4RoMK0VJ55k,,recu2g66G4TcuHV94,recGwARcoUTbSBMel,recalCdqLvbTfE1Bj,recKCsz6Np1hFa9Io,,,,,,,recGsMTX5IWVLMfvb,,,,,,,,,,,,rec3bVHAcLI4a7u7z,,,,,,recJDFgxjx6uHkb42,recNqTvJjuoxfUWk0,,1,
o1-mini-2024-09-12_medium,o1-mini,o1-mini (medium),,2024-09-12,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-mini is September 30, 2023, according to https://platform.openai.com/docs/models/o1-mini.",https://platform.openai.com/docs/models#o1,,,o1-mini-2024-09-12,,,openai/o1-mini,recKzhu4tvXYZJbc5,recGOQoDUMGxhuJKG,recY4JPURbdldMOQR,,,,o1-mini (2024-09-12),,,recDdu0Wr7UcjeILN,recq4LxA84BKzH3t1,,,,,,,,,,,,,,,,,,,,,,,,recjBMo8w3uRVYaQN,,,,rec9nHByk40IO0MOR,,,,,1,
o1-preview-2024-09-12,o1-preview,o1-preview,,2024-09-12,"The o1 series of models are trained with reinforcement learning to perform complex reasoning. o1 models think before they answer, producing a long internal chain of thought before responding to the user. Learn about the capabilities of o1 models in our reasoning guide.

There are two model types available today:

o1: reasoning model designed to solve hard problems across domains
o1-mini: fast and affordable reasoning model for specialized tasks
The latest o1 model supports both text and image inputs, and produces text outputs (including Structured Outputs). o1-mini currently only supports text inputs and outputs.

The knowledge cutoff for o1 and o1-mini models is October, 2023.

Knowledge cutoff date of o1-preview-2024-09-12 is September 30, 2023, according to https://platform.openai.com/docs/models/o1.",https://platform.openai.com/docs/models#o1,,,,,,openai/o1-preview,reciSRW3eRV2cDSaW,,rec5At0uBqsEuLVVH,,,,,,recJhENih6N50V43Q,recrEGfmnK38cjFjn,,,,,,,,,,,,,,,,,,,,,,,,,reclttZQlaXCYpTDb,,,,recnLgZJKzq0pWJ9p,,,,recZHAuUpc22MsU78,1,
qwen1.5-7b-chat,Qwen1.5-7B,,Qwen,2024-02-04,,https://huggingface.co/Qwen/Qwen1.5-7B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen1.5-14b-chat,Qwen1.5-14B,,Qwen,2024-02-04,,https://huggingface.co/Qwen/Qwen1.5-14B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen1.5-32b-chat,Qwen1.5-32B,,Qwen,2024-04-03,,https://huggingface.co/Qwen/Qwen1.5-32B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen1.5-72b-chat,Qwen1.5-72B,,Qwen,2024-02-04,,https://huggingface.co/Qwen/Qwen1.5-72B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen1.5-110b-chat,Qwen1.5-110B,,Qwen,2024-04-25,,https://huggingface.co/Qwen/Qwen1.5-110B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
qwen2-72b-instruct,Qwen2-72B,,Qwen,2024-06-07,,https://huggingface.co/Qwen/Qwen2-72B-Instruct,,,,,OpenHands + Qwen-2-72b,,,,,,,,,,recIqQ9tqJzeP1sHf,,,,,,,,,,,rec4k5yqvGWnSlnLK,,,,,,,,,,,,,,,,,,,,,,,,1,
qwen2.5-72b-instruct,Qwen2.5-72B,,Qwen,2024-09-19,,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,,,,recpSxQQcNcrGbyaf,OpenHands + Qwen-2.5-72b,,,,,,,,,,recmXpRGOYoAcTAgQ,,,,,,,,,,,recbl49vkZltt7Qu7,,,,,,,,,,,,,,,,,,,,,,,,1,
text-ada-001,InstructGPT 350M,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,recNkQMe0Nqd3deYK,,,,,,,,,,,,rec0V8SZd0uPBlgyp,,,,recMowoIcCL0xyNCc,,,,,,,,,,,0,
text-babbage-001,InstructGPT 1.3B,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,recxrPuCbT16sDZrG,,,,,,,,,,,,recPnofjm1vlqkfwp,,,,recwFyj4k7N8CWhsj,,,,,,,,,,,0,
text-curie-001,InstructGPT 6B,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,recYhmf2CsNqDxs5a,,,,,,,,,,,,rec191CB0bMuoPuGK,,,,recZv2dfvg2B38Q8n,,,,,,,,,,,0,
text-davinci-001,InstructGPT 175B,,,2022-01-27,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,"recr3mOusR0K1TilG,recdvddfEJCDhen1x,recc3BHdP90Z1fI20,recw7hL34oyte0hO4,recLlYcFFQ2fkEaY4,rec9hsfppA15xBC1Z,recnKx5JEOw8tZlbl,recCvPkcxVrRq6YCL,recsTSf13JcXIzyWp","recGiuywzkfGkjfa9,rec1lRzMumzZON196,recSDCmLFvBeiQOqG,recFibgTqlVSOR9VX,rec6lQxIK5zT1TvsP,recV8gA88czCjdZG5,recGI43E7k7qQP84S","recuE1AFI2Xi9TRZy,recFDEwWa9MDvdGp7,reczqA3lUwnnCXwU9,recijvxN8UXEh3SBp,recl9X5JuCNXMgSCh,recQ2RjlzBCPbvsAn,recBRuKvfAnXUpJGz,recBbxInhFByx7qHT,recLMdsVONh2oFds1,rec8u6KWQWeBGN0Km,recMIaObYJI2WngO3,recuZIZGrqaZmTQHx,reczOX5oz5FcrxCks","recuAsFQiyYxqtm21,recvqThL1Bym2eWPd",,"rech95qTb390zRaA1,rec80FIbMEIFtngNq,recjbZ5iX41fMNKTS,rec9QQGCXZgygnfBz,recEreiw1NzbvJYEK,recPrYWrsvsjKbhpk,recTEzt7DQe7MTvSz,recbxIZpvmvJV4tOs,recNaxMPrhoe9tttx",,,,,,,,rec2N4ugHyIuFFHCg,recjdKkQvD43gCZIG,"recKkMcRrA3QYrqcl,recam11tENdCcJOOT,rec9y9ui3cTNMI7fL,rec0YBtMZPv6PvP3L,recO5w0E8iGLF03SH,recJMbsvJvQxBVWGL","recOueG0773kjBUnT,reczpDrT20I92v7cm,recRdRHAlrhly8hu3,rechcklkYf759OmcE,recm7HR2MIA1lJTvd,recn2QgU7kt60wQMf,recwKMMtCzOuwW4c4,rec4Pxnfze9hfW9Rv,rec4h1FDNDFDmV32Z","recsYI4pESAvZyS6M,recH9xsP3Rbt6iIYp,recmMgB5NbBUgeVIA,rechyypf7vUAiL6zd,recNGhvAQW5IgDxpV,recjUybr3sNM10801,recsVbigtLpMbL6Qh,rec25UCR5WZroWYCB",,"rectdKW9XkJ6YqRKY,recahBXKhmGNiqjFA,rec3lMHRJFfrxLZFJ","recL8mZMJvVlv3aVD,rec6clTwByWcSogei",,,"recHNTbNvpxyoh4wP,recon4Hh3kTsbzIUH,recH2Cy2QrGCCajNe,reco3SamtEdKFjE4P,recsaQHxqvzRAnRqF",,,,0,
text-davinci-002,GPT-3.5,,,2022-03-15,"was deprecated 2024-01-04

from Wikipedia: Similar capabilities to text-davinci-003 but trained with supervised fine-tuning instead of reinforcement learning

from CaLM: Text-davinci-002 is one of the models in the GPT 3.5 series. Like former InstructGPT models[1], it undergoes a training process that includes supervised fine-tuning using examples crafted by humans. Originating from code-davinci-002, this model possesses the capability to modify or augment existing text with new content, extending beyond mere text completion",https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,rechG6XtFFAfGaxk8,,recXkgGBeKRwNlOKi,"recl2ayHYyWSQ7ejk,recuAOzevJhAkVd3J",,,,,,,,,recoDKfXnKDzKIo3R,,,,rec21epodjC4RKZOx,,,,,,,recGUeMteustGGfMg,,,,0,
text-davinci-003,GPT-3.5,,,2022-11-28,"was deprecated 2024-01-04

from CaLM: text-davinci-003, a variant within the GPT 3.5 series, builds upon text-davinci-002[1,2] and incorporates reinforcement learning (PPO) through reward models. It applies instruction tuning based on reinforcement learning from human feedbac",https://platform.openai.com/docs/deprecations#instructgpt-models,,,,,,,,,,,,,,,,,,,,,,,"recaAsccv7Ypq42Vf,recSoaSkn6hHNrdDG,recDZLIX5tZdFHfZV",,,recNIoSP9zPHcNC2Y,,,,,,,,,"rec8hZWOfPZGc8t7Q,recIH7lu93SZpnNtQ,recxA7ihKzVOLgmMY,rec2uZfuhxZCO1QSe",,,,recH6d8ExyapqWoaZ,,,,,,,,,,,0,
text-davinci-edit-001,GPT-3.5,,,,was deprecated 2024-01-04,https://platform.openai.com/docs/deprecations#edit-models-endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
