,model,Model,date,estimated_capability
300,llama3.1:8b-instruct-q8_0,Llama 3.1-8B,2024-07-23,0.47040118743711323
201,gpt-neo-2.7B,GPT-Neo-2.7B,2023-03-30,0.46316441641946793
146,gpt2-xl,GPT-2 (1.5B),2019-11-05,0.41725892873956605
160,stablelm-tuned-alpha-7b,,2023-04-19,0.4140559161687316
128,deepseek-coder-1.3b-base,DeepSeek Coder 1.3B,2023-11-02,0.39735299357305287
127,Qwen2.5-Coder-0.5B,,2024-09-18,0.38661411157784276
283,SliME-Llama3-8B,,2024-06-02,0.3755707654261058
145,opt-1.3b,OPT-1.3B,2022-05-11,0.3718813852551681
191,babbage,GPT-3 XL,,0.3291508860768615
282,Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,,2024-06-20,0.2640846166280757
190,ada,GPT-3 Medium,,0.18968922201047467
193,text-babbage-001,InstructGPT 1.3B,,0.15431761833907065
289,Qwen-VL-Chat,,2023-08-20,0.15139204177051058
284,Chat-UniVi-7B-v1.5 ,,2024-04-23,0.1243367119744776
290,Video-LLaVA-7B,,2023-11-17,0.08629291445951237
286,sharegpt4video-8b,,2024-05-27,0.08629291445950571
285,video_chat2_mistral,,2023-11-29,0.06446073247685535
192,text-ada-001,InstructGPT 350M,,0.009033928367682131
287,ST-LLM,,2024-03-28,-0.023615973695449766
